Title,Location,Salary,Description,ID
Software Developer - AI Trainer,"Elgin, IL",$40.00 Per Hour (Employer est.),"You can work on your own schedule. A bachelor's degree (completed or in progress). You will work with the chatbots that we are building in order to measure…&hellip;
Skills: Writing skills, C#, English, SQL, C++",<built-in function id>
Application Developer,"Wheeling, IL",$61K - $91K (Glassdoor est.),"Associate Degree or comparable certification in SQL and/or other programming language. Knowledge of database design and best practices.&hellip;
Skills: Oracle, Software troubleshooting, Relational databases, Databases, SQL",<built-in function id>
"Software Engineer II - Aurora, IL","Aurora, IL",$65K - $80K (Employer est.),"Perform functions to design and develop software systems. Provide technical support to software analysts or end users to resolve system problems.&hellip;
Skills: Precision measuring instruments, Relational databases, C#, .NET, Databases",<built-in function id>
C++ Software Engineer,"Chicago, IL",$91K - $151K (Glassdoor est.),"Bachelor’s degree in a STEM field or equivalent experience. Experience in algorithmic trading software engineering a plus. Job Type:* Full-time, in-office.&hellip;
Skills: Rust, C++, C, Software development, Communication skills",<built-in function id>
Andrioid/IOS Application Developer,"Bolingbrook, IL",$45K - $50K (Employer est.),"We are seeking a skilled and creative Android and iOS App Developer to design, develop, and maintain mobile applications for both platforms.&hellip;
Skills: Urdu, CI/CD, Computer science, Azure, iOS development",<built-in function id>
Database Developer,"Chicago, IL",$87K - $115K (Employer est.),"Bachelor degree in computer science or related field or 5+ years equivalent experience. Perform development, modification, and implementation of software and…&hellip;
Skills: Jira, Computer science, Azure, Management, Visual Studio",<built-in function id>
Entry-level React Developer,"Naperville, IL",$62K - $70K (Employer est.),"In this role as React Developer, you should be passionate about developing solutions to achieve business needs and will be involved in all aspects of the…&hellip;
Skills: Node.js, CSS, React, XML, DevOps",<built-in function id>
Applications Development Manager,"Rolling Meadows, IL",$101K - $139K (Glassdoor est.),"Maintains and supports existing application portfolio, including managing technical debt, driving standardization and reuse, and retiring obsolete applications.&hellip;
Skills: ASP.NET, Oracle, MVC, Management, Software troubleshooting",<built-in function id>
Lead Applications Developer,"Deerfield, IL",$116K (Employer est.),"Ability to drive project and system architecture design and implementation. Design, develop and deliver assigned development projects/tasks within agreed…&hellip;
Skills: CI/CD, Operating systems, JUnit, Customer service, Tomcat",<built-in function id>
Automation Process Controls Engineer,"Burr Ridge, IL",$85K (Employer est.),"The successful candidate will possess a basic understanding of a chemical production processes, process control, proficiency with the process control content of…&hellip;
Skills: LAN, Programmable logic controllers, Project management, Computer networking, Leadership",<built-in function id>
Software Engineer,"Chicago, IL",$80K - $90K (Employer est.),"2+ years of experience developing with JavaScript and modern front-end web frameworks. Collaborate with team members to devise successful technical solutions.&hellip;
Skills: Cloud infrastructure, Microsoft Excel, Management, Business intelligence, CSS",<built-in function id>
Staff Software Engineer - Platform Enginering,"Oak Brook, IL",$98K - $184K (Employer est.),"Act as a technical authority and key driver in the design, development, and delivery of innovative features, collaborating with product owners, front-end,…&hellip;
Skills: CI/CD, Computer science, Cloud architecture, Software troubleshooting, Kubernetes",<built-in function id>
Software Engineer with 1-3 years of experience,"Buffalo Grove, IL",$50K - $60K (Employer est.),"You will collaborate with cross-functional teams to design and implement innovative solutions that meet our clients' needs. 1-3 years of experience.&hellip;
Skills: Computer science, Tomcat, Java, SQL, JavaScript",<built-in function id>
Software Engineer (RxR),"Deerfield, IL",,"Willing to travel up to/at least 10% of the time for business purposes (within state and out of state). Bachelor's degree in computer science, Information…&hellip;
Skills: CI/CD, SSO, Computer science, Cloud infrastructure, Node.js",<built-in function id>
Software Developer,"Naperville, IL",$80K - $109K (Glassdoor est.),"Master’s Degree in Computer Science or Computer Engineering plus must have College Coursework in: Data Structure and Algorithms, Database Management Systems,…&hellip;
Skills: Data structures",<built-in function id>
ReactJS Developer - SC2025 - RJSD,"Rosemont, IL",$62K - $93K (Glassdoor est.),"Developing and maintaining technical documentation, including design documents, user guides, and API specifications, to effectively communicate complex concepts…&hellip;
Skills: Management, Node.js, CSS, React, Web development",<built-in function id>
Lead Embedded Software Engineer (contract-to-hire),"Elgin, IL",$60.00 - $85.00 Per Hour (Employer est.),"Through hands-on learning, studying technical specifications, interacting with peers and end-users, and mentoring, you will extend your expertise in serial data…&hellip;
Skills: Java, OS Kernels, C++, C, Product management",<built-in function id>
HTML Developer - SC2025 - HD,"Rosemont, IL",,"Ensure technical feasibility of UI/UX designs. Use markup languages like HTML to create user-friendly web pages. Develop new user-facing features.&hellip;
Skills: Adobe Photoshop, AJAX, CSS, React, Social media management",<built-in function id>
UI Developer - SC2025 - UID,"Rosemont, IL",$63K - $94K (Glassdoor est.),"Seamless integration of front-end and back-end components. . Framework Expertise: Good to have proficiency in popular front-end frameworks and libraries such.&hellip;
Skills: CSS, React, Responsive web design, JavaScript, Angular",<built-in function id>
Senior Full Stack Software Engineer,United States,$96K - $137K (Employer est.),"Frontend Architecture: Create modular, reusable components and implement state management using libraries like Redux or Context API.&hellip;
Skills: Jira, CI/CD, Computer science, Node.js, React",<built-in function id>
Software Engineer II - C# (Remote),"Chicago, IL",$98K - $139K (Employer est.),"1+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems.&hellip;
Skills: Jira, Computer science, React, Kubernetes, Visual Studio",<built-in function id>
"IT Development Software Engineer I (EDI) - Aurora, IL","Aurora, IL",$74K - $78K (Employer est.),"A bachelor’s degree in computer science or related field. Under general supervision, the Software Engineer (SE) is responsible for designing, developing,…&hellip;
Skills: Computer science, Precision measuring instruments, EDI, CSS, XML",<built-in function id>
Senior Security Software Engineer,"Chicago, IL",$135K - $189K (Glassdoor est.),"Bachelor of Science in Computer Science, similar technical field of study or equivalent practical experience. Attend various industry group calls.&hellip;
Skills: Jira, Computer science, Oracle, React, XML",<built-in function id>
Senior Software Engineer - Full Stack Java,"Deerfield, IL",,"Willing to travel up to/at least 10% of the time for business purposes (within state and out of state). Bachelor's degree in computer science, Information…&hellip;
Skills: React, Software deployment, Mobile applications, Java, Microservices",<built-in function id>
Lead Software Engineer - iOS Mobile App,"Deerfield, IL",$116K - $173K (Glassdoor est.),"Bachelor’s degree and at least 4 years of experience for Engineering, Software Engineering or related field OR High School/GED and at least 7 years of…&hellip;
Skills: Management, Software deployment, Mobile applications, iOS, Objective-C",<built-in function id>
Software Engineer,"Schaumburg, IL",$75K - $80K (Employer est.),"They will use their creativity and technical skills and apply the principles of software engineering to help solve new and ongoing problems for an organization.&hellip;
Skills: Computer science, MVC, JUnit, XML, J2EE",<built-in function id>
Web Developer,"Roselle, IL",$56K - $89K (Glassdoor est.),"Strong communication skills with the ability to articulate technical concepts to non-technical stakeholders. Proven expertise in WordPress development and front…&hellip;
Skills: Web accessibility, CSS, React, WordPress, Git",<built-in function id>
Software Developer,"Chicago, IL",$87K - $105K (Glassdoor est.),"Analyze user needs and develop software solutions. Design, develop, test, and deploy custom and complex Application Integrations by working individually or…&hellip;
Skills: COBOL",<built-in function id>
Software Engineer,"Chicago, IL",,"Degree in Computer Science or a related field. The ideal candidate will have experience with modern front-end technologies and practices, including Next.js,…&hellip;
Skills: React, DevOps, Content management systems, Project coordination, JavaScript",<built-in function id>
Java Full Stack Java Developer,"Chicago, IL",$82K - $110K (Glassdoor est.),"Bachelor's degree in Computer Science or related field. Collaborating with cross-functional teams to define, design, and ship new features.&hellip;
Skills: Computer science, Oracle, CSS, Relational databases, J2EE",<built-in function id>
Software Developer - AI Trainer,"Elgin, IL",$40.00 Per Hour (Employer est.),"You can work on your own schedule. A bachelor's degree (completed or in progress). You will work with the chatbots that we are building in order to measure…&hellip;
Skills: Writing skills, C#, English, SQL, C++",<built-in function id>
Application Developer,"Wheeling, IL",$61K - $91K (Glassdoor est.),"Associate Degree or comparable certification in SQL and/or other programming language. Knowledge of database design and best practices.&hellip;
Skills: Oracle, Software troubleshooting, Relational databases, Databases, SQL",<built-in function id>
"Software Engineer II - Aurora, IL","Aurora, IL",$65K - $80K (Employer est.),"Perform functions to design and develop software systems. Provide technical support to software analysts or end users to resolve system problems.&hellip;
Skills: Precision measuring instruments, Relational databases, C#, .NET, Databases",<built-in function id>
C++ Software Engineer,"Chicago, IL",$91K - $151K (Glassdoor est.),"Bachelor’s degree in a STEM field or equivalent experience. Experience in algorithmic trading software engineering a plus. Job Type:* Full-time, in-office.&hellip;
Skills: Rust, C++, C, Software development, Communication skills",<built-in function id>
Andrioid/IOS Application Developer,"Bolingbrook, IL",$45K - $50K (Employer est.),"We are seeking a skilled and creative Android and iOS App Developer to design, develop, and maintain mobile applications for both platforms.&hellip;
Skills: Urdu, CI/CD, Computer science, Azure, iOS development",<built-in function id>
Database Developer,"Chicago, IL",$87K - $115K (Employer est.),"Bachelor degree in computer science or related field or 5+ years equivalent experience. Perform development, modification, and implementation of software and…&hellip;
Skills: Jira, Computer science, Azure, Management, Visual Studio",<built-in function id>
Entry-level React Developer,"Naperville, IL",$62K - $70K (Employer est.),"In this role as React Developer, you should be passionate about developing solutions to achieve business needs and will be involved in all aspects of the…&hellip;
Skills: Node.js, CSS, React, XML, DevOps",<built-in function id>
,,,,<built-in function id>
,,,,<built-in function id>
,,,,<built-in function id>
,,,,<built-in function id>
,,,,<built-in function id>
,,,,<built-in function id>
,,,,<built-in function id>
,,,,<built-in function id>
,,,,<built-in function id>
,,,,<built-in function id>
,,,,<built-in function id>
,,,,<built-in function id>
,,,,<built-in function id>
,,,,<built-in function id>
,,,,<built-in function id>
,,,,<built-in function id>
,,,,<built-in function id>
,,,,<built-in function id>
,,,,<built-in function id>
,,,,<built-in function id>
,,,,<built-in function id>
Software Engineer,"Chicago, IL",,"Degree in Computer Science or a related field. The ideal candidate will have experience with modern front-end technologies and practices, including Next.js,…&hellip;
Skills: React, DevOps, Content management systems, Project coordination, JavaScript",<built-in function id>
Java Full Stack Java Developer,"Chicago, IL",$82K - $110K (Glassdoor est.),"Bachelor's degree in Computer Science or related field. Collaborating with cross-functional teams to define, design, and ship new features.&hellip;
Skills: Computer science, Oracle, CSS, Relational databases, J2EE",<built-in function id>
