,Title,Location,Salary,Description,ID
0,Software Developer - AI Trainer,"Elgin, IL",$40.00 Per Hour (Employer est.),"You can work on your own schedule. A bachelor's degree (completed or in progress). You will work with the chatbots that we are building in order to measure…&hellip;
Skills: Writing skills, C#, English, SQL, C++",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.45
1,AutoCAD Standards Expert / Instructor / AutoLISP programmer,"Carol Stream, IL",$75K - $85K (Employer est.),"Education: Bachelor’s degree in engineering, architecture, computer science, or related field. Skills: Strong teaching and communication skills, expertise in…&hellip;
Skills: AutoCAD, Computer science, Machine learning, Data collection, AI",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.46
2,Automation Controls Engineer,"Burr Ridge, IL",$85K (Employer est.),"The successful candidate will possess a basic understanding of a chemical production processes, process control, proficiency with the process control content of…&hellip;
Skills: LAN, Programmable logic controllers, Project management, Computer networking, Leadership",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.47
3,ReactJS Developer - SC2025 - RJSD,"Rosemont, IL",$62K - $93K (Glassdoor est.),"Developing and maintaining technical documentation, including design documents, user guides, and API specifications, to effectively communicate complex concepts…&hellip;
Skills: Management, Node.js, CSS, React, Web development",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.48
4,Applications Development Manager,"Rolling Meadows, IL",$101K - $139K (Glassdoor est.),"Maintains and supports existing application portfolio, including managing technical debt, driving standardization and reuse, and retiring obsolete applications.&hellip;
Skills: ASP.NET, Oracle, MVC, Management, Software troubleshooting",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.52
5,Distribution Automation Maintenance & Support Engineer,"Bolingbrook, IL",$90K - $120K (Employer est.),"OR Associate’s degree in engineering, electronics, robotics, software, or a related field and 5+ years of experience leading projects in an automated warehouse…&hellip;
Skills: Schematics, Project coordination, Analysis skills, Supervising experience, Programmable logic controllers",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.53
6,Database Developer,"Chicago, IL",$87K - $115K (Employer est.),"Bachelor degree in computer science or related field or 5+ years equivalent experience. Perform development, modification, and implementation of software and…&hellip;
Skills: Jira, Computer science, Azure, Management, Visual Studio",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.54
7,Andrioid/IOS Application Developer,"Bolingbrook, IL",$45K - $50K (Employer est.),"We are seeking a skilled and creative Android and iOS App Developer to design, develop, and maintain mobile applications for both platforms.&hellip;
Skills: Urdu, CI/CD, Computer science, Azure, iOS development",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.55
8,UI Developer - SC2025 - UID,"Rosemont, IL",$63K - $94K (Glassdoor est.),"Seamless integration of front-end and back-end components. . Framework Expertise: Good to have proficiency in popular front-end frameworks and libraries such.&hellip;
Skills: CSS, React, Responsive web design, JavaScript, Angular",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.56
9,Experienced C++ Software Engineer,"Chicago, IL",$140K - $200K (Employer est.),"Effectively communicate technical concepts to diverse audiences, both technical and non-technical. Collaborate closely with our quant team, sharing insights and…&hellip;
Skills: Data structures, C++, C, Communication skills",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.60
10,Software Developer,"Naperville, IL",$80K - $109K (Glassdoor est.),"Master’s Degree in Computer Science or Computer Engineering plus must have College Coursework in: Data Structure and Algorithms, Database Management Systems,…&hellip;
Skills: Data structures",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.61
11,Lead Applications Developer,"Deerfield, IL",$116K (Employer est.),"Ability to drive project and system architecture design and implementation. Design, develop and deliver assigned development projects/tasks within agreed…&hellip;
Skills: CI/CD, Operating systems, JUnit, Customer service, Tomcat",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.65
12,Software Engineer with 1-3 years of experience,"Buffalo Grove, IL",$50K - $60K (Employer est.),"You will collaborate with cross-functional teams to design and implement innovative solutions that meet our clients' needs. 1-3 years of experience.&hellip;
Skills: Computer science, Tomcat, Java, SQL, JavaScript",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.66
13,Web Developer,United States,,"Bachelor’s degree (or equivalent) in web design, multimedia design, or related field. Extensive knowledge of web applications, programming languages, and web…&hellip;
Skills: Web design, CSS, Web development, Project coordination, Windows",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.67
14,Sr. Software Developer,"Oak Brook, IL",$116K - $150K (Employer est.),"College diploma or university degree in the field of computer science, information systems, or software engineering, and/or 15 years equivalent work experience.&hellip;
Skills: Operating systems, EDI, DB2, Relational databases, Supply chain",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.68
15,VB.Net Developer,"North Barrington, IL",,"Show willingness to learn new technologies and develop innovative solutions. Net Developer with advanced front-end web development skills, excellent…&hellip;
Skills: ASP.NET, Crystal Reports, Web analytics, Web development, IIS",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.72
16,"Engineer, Software - Unity Developer","Chicago, IL",$63K - $99K (Glassdoor est.),"Analyze, design, and develop new games and maintain and enhance existing games. You will be involved in various aspects of the game’s creation from concept to…&hellip;
Skills: C#, Analysis skills, Unity, Agile, Communication skills",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.73
17,Senior Software Engineer,"Chicago, IL",$120K - $145K (Employer est.),"Collaborate with cross-functional teams to conceptualize, design and prototype new features. Proficient understanding of code versioning tools, such as Git.&hellip;
Skills: React, Relational databases, Test automation, Git, Databases",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.77
18,Software Developer Web Applications,"Lombard, IL",$90K - $128K (Glassdoor est.),"Master’s degree in Comp Sci, Eng any, Tech or rltd and 1 yr of exp to Dvlp, prog., & troubleshoot complex and highly variable templates within Open Text Ex…&hellip;
Skills: CSS, Bootstrap, Encryption, J2EE, Responsive web design",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.78
19,Software Engineer – 2025 University Graduate (US),"Chicago, IL",$200K - $250K (Employer est.),"You’ll have access to state-of-the-art tools and apply innovative techniques including distributed computing, natural language processing, machine learning and…&hellip;
Skills: Statistics, Analysis skills, Machine learning, Distributed systems, Natural language processing",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.82
20,Software Developers,"Schaumburg, IL",$87K - $106K (Glassdoor est.),"Develop the proof of concepts, contributes to the documentation as bi-weekly sprint cycles of Agile Scrum methodology workflow through grooming and Involved in…&hellip;",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.86
21,Software Developer,"Chicago, IL",$87K - $104K (Glassdoor est.),"Analyze user needs and develop software solutions. Design, develop, test, and deploy custom and complex Application Integrations by working individually or…&hellip;
Skills: AWS",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.90
22,Engineer - Software Test,"Chicago, IL",$94K - $116K (Employer est.),"You will collaborate with developers, surveillance analysts and project managers to design testing strategy, develop test plans and implement automated and…&hellip;
Skills: Jira, Operating systems, Big data, Spark, Test automation",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.94
23,"Senior Software Engineer, iOS","Chicago, IL",,"Develop iOS client code solutions that deliver on Product Strategy and adhere to established engineering best practices, design guidelines and principles.&hellip;
Skills: iOS development, iOS, APIs, Agile, Swift",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.98
24,CNC Programmer,"Elk Grove Village, IL",$80K - $90K (Employer est.),"The software applications engineer will design, develop, and support manufacturing software control systems used with Mitsubishi fabrication equipment at…&hellip;
Skills: CNC programming, AutoCAD, CAD, Build automation, Machining",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.99
25,Software Developers,"Schaumburg, IL",$82K - $111K (Glassdoor est.),"Req. - Bachelors +2 yr exp. or 3 yr of Post-Sec. Comp. salary, Travel/Relocation within USA possible.&hellip;
Skills: WebSphere",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.100
26,Developer,"Evanston, IL",$85K - $120K (Employer est.),"Successful completion of a full 4-year course of study in an accredited college or university leading to a bachelor's or higher degree in a major such as…&hellip;
Skills: Node.js, CSS, Web development, Data structures, SQL",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.104
27,"Senior Manager, Software Engineering, Back End","Chicago, IL",,"Capital One will consider for employment qualified applicants with a criminal history in a manner consistent with the requirements of applicable laws regarding…&hellip;
Skills: Azure, Go, Management, Node.js, Kubernetes",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.108
28,Software Developer,"Elgin, IL",,Play a leadership role in Agile solution teams including business and IS personnel to configure and develop SAP solutions.&hellip;,f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.109
29,SME Software Developer,"Westchester, IL",$88K - $111K (Glassdoor est.),"Limited domestic travel, telecommute and/or occasional relocation to client locations to analyze, design, develop software applications using knowledge of…&hellip;
Skills: Oracle, XML, Microsoft SQL Server, SQL, Informatica",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.112
30,Application Developer,"Elmhurst, IL",$100K - $120K (Employer est.),"The candidate will have a solid foundation in computer science, with strong competencies in data structures, algorithms, software design, and C#.&hellip;
Skills: Visual Studio, Data structures, C#, Databases, SQL",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.250
31,"Senior Software Engineer, Full Stack","Chicago, IL",,"Collaborate with and across Agile teams to design, develop, test, implement, and support technical solutions in full-stack development tools and technologies.&hellip;
Skills: Azure, Go, Node.js, Kubernetes, NoSQL",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.251
32,"Senior Software Engineer, Back End (Enterprise Platforms Technology)","Chicago, IL",,"Collaborate with and across Agile teams to design, develop, test, implement, and support technical solutions in full-stack development tools and technologies.&hellip;
Skills: Azure, Go, Node.js, Kubernetes, NoSQL",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.252
33,"Senior Software Engineer, Back End (Golang or Scala, AWS)","Chicago, IL",,"Collaborate with and across Agile teams to design, develop, test, implement, and support technical solutions in full-stack development tools and technologies.&hellip;
Skills: Azure, Go, Node.js, Kubernetes, NoSQL",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.253
34,"Senior Software Engineer, Back End (Java, Go, AWS)","Chicago, IL",,"Collaborate with and across Agile teams to design, develop, test, implement, and support technical solutions in full-stack development tools and technologies.&hellip;
Skills: Azure, Go, Node.js, Kubernetes, NoSQL",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.254
35,"Manager, Software Engineering, Back End (JAVA, AWS, GoLang)","Chicago, IL",,"Capital One will consider for employment qualified applicants with a criminal history in a manner consistent with the requirements of applicable laws regarding…&hellip;
Skills: Azure, Go, Management, Node.js, Kubernetes",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.255
36,"Senior Manager, Software Engineering (Java)","Chicago, IL",,"Capital One will consider for employment qualified applicants with a criminal history in a manner consistent with the requirements of applicable laws regarding…&hellip;
Skills: Azure, Go, Management, Node.js, Kubernetes",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.256
37,"Lead Software Engineer, Back End (Golang, AWS)","Chicago, IL",,"Capital One will consider for employment qualified applicants with a criminal history in a manner consistent with the requirements of applicable laws regarding…&hellip;
Skills: Azure, Go, Management, Node.js, Kubernetes",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.257
38,"Senior Manager, Software Engineering, Full Stack","Chicago, IL",,"Capital One will consider for employment qualified applicants with a criminal history in a manner consistent with the requirements of applicable laws regarding…&hellip;
Skills: Azure, Go, Management, CSS, Kubernetes",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.258
39,"IT Development Software Engineer I (EDI) - Aurora, IL","Aurora, IL",$74K - $78K (Employer est.),"A bachelor’s degree in computer science or related field. Under general supervision, the Software Engineer (SE) is responsible for designing, developing,…&hellip;
Skills: Computer science, Precision measuring instruments, EDI, CSS, XML",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.259
40,"Senior Lead Software Engineer, Back End (Java, Go, AWS)","Chicago, IL",,"The Card Technology team at Capital One is working on building a state-of-the-art software system to support one of the critical lifecycle functions enabling us…&hellip;
Skills: Azure, Go, Management, Node.js, Kubernetes",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.263
41,SOFTWARE DEVELOPER,"Schaumburg, IL",$87K - $108K (Glassdoor est.),"Job Requirements: Bachelor or foreign equivalent in Computer Science/Application/Engineering, Electrical Engineering, Information Technology or related field.&hellip;
Skills: Business requirements",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.264
42,"Lead Full Stack Engineer (Go, React, AWS)","Chicago, IL",,"Capital One will consider for employment qualified applicants with a criminal history in a manner consistent with the requirements of applicable laws regarding…&hellip;
Skills: Azure, Go, React, Kubernetes, DevOps",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.268
43,.Net Developer,"Chicago, IL",$82K - $119K (Glassdoor est.),"Bachelors degree in Computer Science, Information Technology, or a related field. Collaborate with cross-functional teams to align technical solutions with…&hellip;
Skills: CI/CD, Azure, MVC, Cloud architecture, Kubernetes",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.269
44,UI Developer,"Oakbrook Terrace, IL",$55.00 - $60.00 Per Hour (Employer est.),"Establishment and integration of development tools as required. Designing and maintenance of fully functional large relational and non-relational databases.&hellip;
Skills: Cloud infrastructure, Node.js, NoSQL, Git, JavaScript",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.273
45,Sr. Software Developer - Postgres,"Hoffman Estates, IL",$130K - $155K (Employer est.),"Work closely with other engineers to develop new products•Work on extensions of existing products•Suggest and implement improvements on current products•Plan,…&hellip;
Skills: Jira, Program management, Enterprise software, Application development, Analysis skills",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.277
46,OKTA Developer,United States,,"The Okta Developer will be responsible for the development and configuration of Okta along with integration with other SaaS applications and tools (Workday ,…&hellip;
Skills: Jira, SSO, Google Suite, Management, Load balancing",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.281
47,.NET Developers,"Naperville, IL",$86K - $111K (Glassdoor est.),"Good working knowledge of change control and version control processes using source code control tools. Ability to participate in quality assurance activities…&hellip;
Skills: AJAX, J2EE, .NET, Java, Quality assurance",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.284
48,JAVA DEVELOPER,"Aurora, IL",$65K (Employer est.),"Work with stakeholders to understand current state and to identify the future state for the proposed solution. 40 hours per week (M-F 9-5).&hellip;
Skills: Computer science, Software troubleshooting, Java, IT, SDLC",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.288
49,Terraform Cloud Engineer,"Schaumburg, IL",$60.00 Per Hour (Employer est.),"We are looking for a skilled Terraform Cloud Engineer to design, develop, and manage cloud infrastructure using Terraform in Azure and AWS environments.&hellip;
Skills: CI/CD, Cloud infrastructure, Azure, DevOps, AWS",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.292
50,Lead Java Engineer,"Chicago, IL",$70.00 - $87.00 Per Hour (Employer est.),"Additionally, they will have experience owning their work from design through implementation and deployment as well as experience mentoring and guiding a team.&hellip;
Skills: Computer science, Elasticsearch, Cloud architecture, Software deployment, DevOps",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.296
51,Software Developer,"Chicago, IL",$88K - $120K (Employer est.),"Bachelor's degree in Computer science, software engineering, or related field. Assist in design, develop and modify software applications/systems.&hellip;
Skills: Microsoft Windows Server, Microsoft Powerpoint, CI/CD, Microsoft Excel, Oracle",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.297
52,Software Engineer,"Naperville, IL",$105K - $158K (Employer est.),"Define, design, develop, and validate new messaging capabilities including areas such as: user interface, core messaging functionality, performance improvements…&hellip;
Skills: CI/CD, Computer science, Go, Java, C++",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.301
53,Senior Software Developer,"Chicago, IL",$96K - $150K (Glassdoor est.),"Bachelor’s Degree in Computer Science or an equivalent field. Solid programming skills and strong understanding of general programming concepts such as OOP,…&hellip;
Skills: Research laboratory experience, Computer science, Data structures, OOP, C++",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.305
54,DevOps Engineer - SC2025 - DOE,"Rosemont, IL",$81K - $109K (Glassdoor est.),"Review systems and applications for design weaknesses; provide recommendations to improve the environments and implement approved changes.&hellip;
Skills: CI/CD, Azure, DevOps, Configuration management, Test automation",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.309
55,ASP DOT NET II - SC2025 - ADN,"Rosemont, IL",$58K - $79K (Glassdoor est.),"You know how to design efficient databases, optimize queries, and make sure everything runs smoothly. Dependency Injection Expert: You're a master of Autofac or…&hellip;
Skills: ASP.NET, MVC, CSS, Microsoft SQL Server, .NET",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.313
56,.NET Developer,"Naperville, IL",$49.59 - $59.72 Per Hour (Employer est.),"Analyze and resolve technical and application problems and identify opportunities for improvement. NET desktop applications for engineering calculations.&hellip;
Skills: CI/CD, Azure, CAD, Software deployment, DevOps",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.317
57,Senior Software Developers,"Schaumburg, IL",$97K - $136K (Glassdoor est.),"Senior Software Developers: Design & Develop solutions using DevTest, Selenium WebDriver, Jenkins, JIRA, and Confluence.&hellip;
Skills: Jira, Selenium, Confluence, Jenkins",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.321
58,Database Developer,"Chicago, IL",$70K - $80K (Employer est.),"Bachelor’s Degree in Computer Science, Computer Engineering, Data Science, Mathematics, or a related field or equivalent experience.&hellip;
Skills: Power BI, Microsoft Excel, Management, Microsoft SQL Server, SQL",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.325
59,GIS Developer,"Lisle, IL",,"Participate in requirements gathering and analysis, functional specification, software design, testing, and deployment.&hellip;
Skills: ArcGIS, Oracle, React, Microsoft SQL Server, Git",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.329
