Unique Title,Title,Job Location,Company Name,Job Type,Salary
SoftDev,C++ Software Engineer,"Chicago, IL",CTC Lateral - Website & LinkedIn,unknown,"$145,000 - $225,000 a year"
SoftDev,Software Engineer - Test Automation,"Chicago, IL",iManage,Full-time,"$88,000 - $134,000 a year"
SoftDev,Backend C# Developer / Blazor / Angular CONSULTANT,"Chicago, IL",Intone Networks,Contract,Estimated: $108K - $137K a year
SoftDev,Software Developer,"Chicago, IL",Quinnox,unknown,Estimated: $99.6K - $126K a year
SoftDev,FBI Special Agent: Data Science & Intelligence Expertise,United States,Federal Bureau of Investigation,Full-time,"$97,300 - $125,543 a year"
SoftDev,Visiting Discharge Data Lead-OSI (hybrid),"Chicago, IL",University of Illinois - Chicago,Full-time,"$90,000 - $105,000 a year"
SoftDev,"Technical Solution Analyst, Orgbuilder, United States – X Delivery","Chicago, IL",Boston Consulting Group,Full-time,"$96,900 a year"
SoftDev,Remote Coding Expertise for AI Training (Norwegian) - AI Fact Checker,"Chicago, IL",Outlier Ai,Contract | Freelance,$25 - $50 an hour
SoftDev,Coding Expertise for AI Training (Austrian German) - AI Fact Checker,"Chicago, IL",Outlier Ai,Contract | Freelance,$25 - $50 an hour
SoftDev,Coding Expertise for AI Training (Thai) - AI Fact Checker,"Chicago, IL",Outlier Ai,Contract | Freelance,$16 - $33 an hour
SoftDev,Pharmaceutical Statistical Quality Analyst,"Melrose Park, IL",Fresenius Kabi,Full-time,"$61,000 - $85,000 a year"
SoftDev,Remote Coding Expertise for AI Training (Swedish) - AI Fact Checker,"Chicago, IL",Outlier Ai,Contract | Freelance,$25 - $50 an hour
SoftDev,Remote Coding Expertise for AI Training (Dutch) - AI Fact Checker,"Chicago, IL",Outlier Ai,Contract | Freelance,$25 - $50 an hour
SoftDev,Category Management Analyst II,"Oak Brook, IL",Ace Hardware Corporation,Full-time,"$74,000 - $93,600 a year"
SoftDev,Staff Data Engineer ( Chicago or Boston ),"Chicago, IL",Press Ganey,Full-time,"$140,000 - $160,000 a year"
SoftDev,Remote Coding Expertise for AI Training (French) - AI Fact Checker,"Chicago, IL",Outlier Ai,Contract | Freelance,$25 - $50 an hour
SoftDev,"Engineer, Machine Learning (AI)","Chicago, IL",Lenovo,Full-time,"$80,000 - $90,000 a year"
SoftDev,Remote Coding Expertise for AI Training (Finnish) - AI Fact Checker,"Chicago, IL",Outlier Ai,Contract | Freelance,$25 - $50 an hour
SoftDev,Data Scientist,"Chicago, IL",PayPal,Full-time,"$72,700 - $176,000 a year"
SoftDev,"Lead, Data Engineer","Chicago, IL",Northern Trust Corp.,Full-time,"$90,820 - $154,280 a year"
SoftDev,AI Specialist (Chicago/IL),"Chicago, IL",Programmers - Beyond IT,unknown,Estimated: $98K - $124K a year
SoftDev,Coding Expertise for AI Training (Italian) - AI Fact Checker,"Chicago, IL",Outlier Ai,Contract | Freelance,$25 - $50 an hour
SoftDev,Senior Data Engineer,"Chicago, IL",Adtalem Global Education,Full-time,"$84,835.61 - $149,076.17 a year"
SoftDev,Remote Coding Expertise for AI Training (Danish) - AI Fact Checker,"Chicago, IL",Outlier Ai,Contract | Freelance,$25 - $50 an hour
SoftDev,Remote Coding Expertise for AI Training (Malay) - AI Fact Checker,"Chicago, IL",Outlier Ai,Contract | Freelance,$16 - $33 an hour
SoftDev,Pharmaceutical Field Sales Representative,"Chicago, IL",Inizio Engage,Full-time,Estimated: $62K - $78.4K a year
SoftDev,Azure AI Infrastructure Specialist,United States,Peraton,Full-time,"$104,000 - $166,000 a year"
SoftDev,Coding Expertise for AI Training (Simplified Chinese) - AI Fact Checker,"Chicago, IL",Outlier Ai,Contract | Freelance,$25 - $50 an hour
SoftDev,Teacher of Mathematics - AI Trainer,"Chicago, IL",DataAnnotation,Part-time | Full-time,From $40 an hour
SoftDev,"VP, Marketing Analytics","Rosemont, IL",Wintrust Financial,Full-time,"$117,000 - $158,000 a year"
SoftDev,"Sr. Analyst, Retail Data","Chicago, IL",Cresco Labs,Full-time,"$74,000 - $100,000 a year"
SoftDev,"Machine Learning Summer Associate, Digital Pathology","Chicago, IL",Tempus,Seasonal | Internship,$35 an hour
SoftDev,Visiting Discharge Data Lead-OSI (hybrid),"Chicago, IL",University of Illinois,unknown,"$90,000 - $105,000 a year"
SoftDev,Data Visualization Designer,"Chicago, IL",Press Ganey,Full-time,"$80,000 - $95,000 a year"
SoftDev,Math Tutor (Advanced Skills),"Chicago, IL",Huntington Learning Center - Lincoln Park,Part-time,$19 an hour
SoftDev,People Insights Analyst [PIA],"Chicago, IL",SPINS,unknown,"$70,000 - $80,000 a year"
SoftDev,2025 AARC Senior Data Science Analyst,"Chicago, IL",Discover Financial Services,unknown,"$103,000 a year"
SoftDev,Senior HR Data and Analytics Consultant (People Insights),"Chicago, IL",Northern Trust Corp.,Full-time,"$95,600 - $162,400 a year"
SoftDev,Research Analyst,"Chicago, IL",The University of Chicago,Full-time,"$66,300 - $85,800 a year"
SoftDev,Staff Data Scientist,"Chicago, IL",Kraft Heinz Company,Full-time,"$115,000 - $143,700 a year"
SoftDev,Data Scientist II,"Chicago, IL",Press Ganey,Full-time,"$80,000 - $90,000 a year"
SoftDev,"Asset & Wealth Management, Client Solutions Group (CSG), Distribution Data, Analytics, and Insights - Data Science, Associate - Chicago","Chicago, IL",Goldman Sachs,Part-time | Full-time,"$80,000 - $100,000 a year"
SoftDev,"Machine Learning Summer Associate, Cell Imaging","Chicago, IL",Tempus,Seasonal | Internship,$35 an hour
SoftDev,Senior Data Analyst,"Chicago, IL",Chicago Public Schools,Permanent | Full-time,"$76,000 - $100,500 a year"
SoftDev,C++ Software Engineer,"Chicago, IL","SG Cap Trading, LLC.",Full-time,Estimated: $81.9K - $104K a year
SoftDev,Database Developer,"Chicago, IL",Medical Home Network,Full-time,"$87,000 - $115,000 a year"
SoftDev,Staff Software Engineer - Platform Enginering,"Oak Brook, IL",The Chamberlain Group LLC,Full-time,"$97,700 - $184,175 a year"
SoftDev,2025009 Staff Software Engineer,"Chicago, IL",John Deere,unknown,"$148,949 - $158,949 a year"
SoftDev,C++ and C# Software Developer,"Hines, IL",Leidos,Full-time,"$85,150 - $153,925 a year"
SoftDev,Staff Software Engineer - Big Data (T25),"Chicago, IL",Braintree,Full-time,"$84,500 - $204,600 a year"
SoftDev,Software Development Engineer,"Chicago, IL",Lenovo,Full-time,Estimated: $129K - $163K a year
SoftDev,UI Developer,"Oakbrook Ter, IL",Steneral Consulting,unknown,$55 - $60 an hour
SoftDev,Software Engineer in Test (Desktop),"Chicago, IL",NinjaTrader,unknown,"$100,000 - $125,000 a year"
SoftDev,Software Engineer,"Chicago, IL",WALGREENS,unknown,"$98,600 - $157,500 a year"
SoftDev,Imaging Software Engineer,"Chicago, IL",Lenovo,Full-time,"$100,000 - $150,000 a year"
SoftDev,Lead Software Engineer,"Chicago, IL","WithMe, Inc.",Full-time,"$200,000 - $220,000 a year"
SoftDev,Staff Software Engineer - Web SDK,"Chicago, IL",PayPal,Full-time,"$84,500 - $204,600 a year"
SoftDev,RPA Application Developer (UiPath) - Chicago/ Texas,"Chicago, IL",RV Soft,Contract,$55 - $58 an hour
SoftDev,"Staff Software Engineer (Trading Platform, Scala)","Chicago, IL",NinjaTrader,unknown,"$175,000 - $205,000 a year"
SoftDev,Software Engineer,"Chicago, IL",DRW,unknown,"$150,000 - $225,000 a year"
SoftDev,iOS Mobile App Developer,"Chicago, IL",RITAM SOFT LLC,Contract,$60 an hour
SoftDev,Software Engineer,"Chicago, IL",Kernel Trading Technologies LP,Full-time,"$100,181.06 - $264,897.98 a year"
SoftDev,Sr. Software Engineer - Big Data (T24),"Chicago, IL",Braintree,Full-time,"$72,700 - $176,000 a year"
SoftDev,Software Engineer II,"Chicago, IL",CME Group,Full-time,"$84,800 - $141,300 a year"
SoftDev,Software Engineering Manager,"Skokie, IL",Motion Recruitment,Full-time,"$150,000 - $180,000 a year"
SoftDev,Software Developer - HighJump/Korber,"Chicago, IL",Costco Wholesale,unknown,"$125,000 - $160,000 a year"
SoftDev,"Software Engineer II, Edge Workflows","Chicago, IL",Tempus,unknown,"$85,000 - $130,000 a year"
SoftDev,"Senior Software Engineer I (Web, Frontend)","Chicago, IL",NinjaTrader,unknown,"$135,000 - $165,000 a year"
SoftDev,"Engineer, Software - Unity Developer","Chicago, IL","Arrow International, Inc.",Full-time,unknown
SoftDev,Software Engineer,"Chicago, IL",FleetPulse,Full-time,"$100,000 - $130,000 a year"
SoftDev,Senior Software Developer,"Chicago, IL","Sunrise Futures, LLC",unknown,Estimated: $122K - $155K a year
SoftDev,Senior Software Engineer,"Chicago, IL",Tempus,unknown,"$110,000 - $160,000 a year"
SoftDev,ADAS Software Engineer,"Chicago, IL",Teoresi Group,Full-time,"$105,341 - $114,017 a year"
SoftDev,Software Development Engineer,"Chicago, IL",Fortinet,Full-time,"$130,000 - $185,000 a year"
SoftDev,Full Stack Java Developer,"Chicago, IL",Seven Seven Global Services Inc,Full-time,$60 - $70 an hour
SoftDev,Engineer - Software Test,"Chicago, IL",CBOE,Full-time,"$93,500 - $115,500 a year"
SoftDev,C++ Developer (Locals Only),"Chicago, IL",Realign LLC,Contract,Estimated: $87.1K - $110K a year
SoftDev,"Software Engineer, Test - Flexible Hybrid in Chicago, IL","Chicago, IL",CBOE,Full-time,"$93,500 - $115,500 a year"
SoftDev,Java Engineer,"Chicago, IL",Chicago Trading Company (CTC),unknown,"$145,000 - $225,000 a year"
SoftDev,"PRODUCT ENGINEER, FRONT END","Chicago, IL","Hyatt Corporate Office, Chicago",Full-time,"$84,700 - $120,000 a year"
SoftDev,C++ Software Engineer,"Chicago, IL",CTC Lateral - Website & LinkedIn,unknown,"$145,000 - $225,000 a year"
SoftDev,Software Engineer - Test Automation,"Chicago, IL",iManage,Full-time,"$88,000 - $134,000 a year"
SoftDev,Backend C# Developer / Blazor / Angular CONSULTANT,"Chicago, IL",Intone Networks,Contract,Estimated: $108K - $137K a year
SoftDev,Software Developer,"Chicago, IL",Quinnox,unknown,Estimated: $99.6K - $126K a year
SoftDev,FBI Special Agent: Data Science & Intelligence Expertise,United States,Federal Bureau of Investigation,Full-time,"$97,300 - $125,543 a year"
SoftDev,Visiting Discharge Data Lead-OSI (hybrid),"Chicago, IL",University of Illinois - Chicago,Full-time,"$90,000 - $105,000 a year"
SoftDev,"Technical Solution Analyst, Orgbuilder, United States – X Delivery","Chicago, IL",Boston Consulting Group,Full-time,"$96,900 a year"
SoftDev,Remote Coding Expertise for AI Training (Norwegian) - AI Fact Checker,"Chicago, IL",Outlier Ai,Contract | Freelance,$25 - $50 an hour
SoftDev,Coding Expertise for AI Training (Austrian German) - AI Fact Checker,"Chicago, IL",Outlier Ai,Contract | Freelance,$25 - $50 an hour
SoftDev,Coding Expertise for AI Training (Thai) - AI Fact Checker,"Chicago, IL",Outlier Ai,Contract | Freelance,$16 - $33 an hour
SoftDev,Pharmaceutical Statistical Quality Analyst,"Melrose Park, IL",Fresenius Kabi,Full-time,"$61,000 - $85,000 a year"
SoftDev,Remote Coding Expertise for AI Training (Swedish) - AI Fact Checker,"Chicago, IL",Outlier Ai,Contract | Freelance,$25 - $50 an hour
SoftDev,Remote Coding Expertise for AI Training (Dutch) - AI Fact Checker,"Chicago, IL",Outlier Ai,Contract | Freelance,$25 - $50 an hour
SoftDev,Category Management Analyst II,"Oak Brook, IL",Ace Hardware Corporation,Full-time,"$74,000 - $93,600 a year"
SoftDev,Staff Data Engineer ( Chicago or Boston ),"Chicago, IL",Press Ganey,Full-time,"$140,000 - $160,000 a year"
SoftDev,Remote Coding Expertise for AI Training (French) - AI Fact Checker,"Chicago, IL",Outlier Ai,Contract | Freelance,$25 - $50 an hour
SoftDev,"Engineer, Machine Learning (AI)","Chicago, IL",Lenovo,Full-time,"$80,000 - $90,000 a year"
SoftDev,Remote Coding Expertise for AI Training (Finnish) - AI Fact Checker,"Chicago, IL",Outlier Ai,Contract | Freelance,$25 - $50 an hour
SoftDev,Data Scientist,"Chicago, IL",PayPal,Full-time,"$72,700 - $176,000 a year"
SoftDev,"Lead, Data Engineer","Chicago, IL",Northern Trust Corp.,Full-time,"$90,820 - $154,280 a year"
SoftDev,AI Specialist (Chicago/IL),"Chicago, IL",Programmers - Beyond IT,unknown,Estimated: $98K - $124K a year
SoftDev,Coding Expertise for AI Training (Italian) - AI Fact Checker,"Chicago, IL",Outlier Ai,Contract | Freelance,$25 - $50 an hour
SoftDev,Senior Data Engineer,"Chicago, IL",Adtalem Global Education,Full-time,"$84,835.61 - $149,076.17 a year"
SoftDev,Remote Coding Expertise for AI Training (Danish) - AI Fact Checker,"Chicago, IL",Outlier Ai,Contract | Freelance,$25 - $50 an hour
SoftDev,Remote Coding Expertise for AI Training (Malay) - AI Fact Checker,"Chicago, IL",Outlier Ai,Contract | Freelance,$16 - $33 an hour
SoftDev,Pharmaceutical Field Sales Representative,"Chicago, IL",Inizio Engage,Full-time,Estimated: $62K - $78.4K a year
SoftDev,Azure AI Infrastructure Specialist,United States,Peraton,Full-time,"$104,000 - $166,000 a year"
SoftDev,Coding Expertise for AI Training (Simplified Chinese) - AI Fact Checker,"Chicago, IL",Outlier Ai,Contract | Freelance,$25 - $50 an hour
SoftDev,Teacher of Mathematics - AI Trainer,"Chicago, IL",DataAnnotation,Part-time | Full-time,From $40 an hour
SoftDev,"VP, Marketing Analytics","Rosemont, IL",Wintrust Financial,Full-time,"$117,000 - $158,000 a year"
SoftDev,"Sr. Analyst, Retail Data","Chicago, IL",Cresco Labs,Full-time,"$74,000 - $100,000 a year"
SoftDev,"Machine Learning Summer Associate, Digital Pathology","Chicago, IL",Tempus,Seasonal | Internship,$35 an hour
SoftDev,Visiting Discharge Data Lead-OSI (hybrid),"Chicago, IL",University of Illinois,unknown,"$90,000 - $105,000 a year"
SoftDev,Data Visualization Designer,"Chicago, IL",Press Ganey,Full-time,"$80,000 - $95,000 a year"
SoftDev,Math Tutor (Advanced Skills),"Chicago, IL",Huntington Learning Center - Lincoln Park,Part-time,$19 an hour
SoftDev,People Insights Analyst [PIA],"Chicago, IL",SPINS,unknown,"$70,000 - $80,000 a year"
SoftDev,2025 AARC Senior Data Science Analyst,"Chicago, IL",Discover Financial Services,unknown,"$103,000 a year"
SoftDev,Senior HR Data and Analytics Consultant (People Insights),"Chicago, IL",Northern Trust Corp.,Full-time,"$95,600 - $162,400 a year"
SoftDev,Research Analyst,"Chicago, IL",The University of Chicago,Full-time,"$66,300 - $85,800 a year"
SoftDev,Staff Data Scientist,"Chicago, IL",Kraft Heinz Company,Full-time,"$115,000 - $143,700 a year"
SoftDev,Data Scientist II,"Chicago, IL",Press Ganey,Full-time,"$80,000 - $90,000 a year"
SoftDev,"Asset & Wealth Management, Client Solutions Group (CSG), Distribution Data, Analytics, and Insights - Data Science, Associate - Chicago","Chicago, IL",Goldman Sachs,Part-time | Full-time,"$80,000 - $100,000 a year"
SoftDev,"Machine Learning Summer Associate, Cell Imaging","Chicago, IL",Tempus,Seasonal | Internship,$35 an hour
SoftDev,Senior Data Analyst,"Chicago, IL",Chicago Public Schools,Permanent | Full-time,"$76,000 - $100,500 a year"
SoftDev,Health Informatics and Data Analyst,"Chicago, IL",Midwest Express Clinic,Full-time,Estimated: $58K - $73.4K a year
SoftDev,"Technical Solution Analyst, Orgbuilder, United States – X Delivery","Chicago, IL",Boston Consulting Group,Full-time,"$96,900 a year"
SoftDev,"Solution Analyst, Orgbuilder, United States – X Delivery","Chicago, IL",Boston Consulting Group,Full-time,Estimated: $76.8K - $97.2K a year
SoftDev,Research Data Analyst,"Chicago, IL",Northwestern University,unknown,"$70,017 - $98,462 a year"
SoftDev,"Sr. Analyst, Retail Data","Chicago, IL",Cresco Labs,Full-time,"$74,000 - $100,000 a year"
SoftDev,WIOA Administrative Data Analyst,"Chicago, IL",160 Driving Academy,Full-time,"$65,000 - $75,000 a year"
SoftDev,Data & Analytics Specialist,"Chicago, IL",Lincoln International,unknown,Estimated: $70.7K - $89.5K a year
SoftDev,Data Analyst,"Chicago, IL",Carole Robertson Center for Learning,unknown,"$58,193 - $73,663 a year"
SoftDev,Senior HR Analyst,"Chicago, IL",Kraft Heinz Company,Full-time,"$88,000 - $110,000 a year"
SoftDev,Business Technical Analyst,"Chicago, IL",McDonald's Corporation,Full-time,"$87,050 - $108,810 a year"
SoftDev,Fulfillment Operations Data Analyst,"Chicago, IL",Outform Group,unknown,"$80,000 - $100,000 a year"
SoftDev,Research Data Analyst,"Chicago, IL",The University of Chicago,Full-time,Estimated: $55.6K - $70.4K a year
SoftDev,Senior Data Analyst,"Chicago, IL",Chicago Public Schools,Permanent | Full-time,"$76,000 - $100,500 a year"
SoftDev,HR Data QA Analyst,"Chicago, IL",Rush University Medical Center,Full-time,"$79,081 - $128,710 a year"
SoftDev,Sustainability Data Analyst,"Chicago, IL","US AMR-Jones Lang LaSalle Americas, Inc.",Full-time,"$60,000 - $75,000 a year"
SoftDev,Talent Advisory Analyst,"Chicago, IL",ZRG Partners,Full-time,"$60,000 - $65,000 a year"
SoftDev,ESG Data Analyst,"Chicago, IL",Conservice LLC,unknown,Estimated: $72.5K - $91.8K a year
SoftDev,Junior Data Analyst,"Des Plaines, IL","D&A SERVICES, LLC",Full-time,$23 - $24 an hour
SoftDev,Business Intelligence Strategist,"Chicago, IL",Northern Trust Corp.,Full-time,"$114,700 - $194,900 a year"
SoftDev,Product Analyst,"Chicago, IL",Redwood Logistics,Full-time,"$65,000 - $95,000 a year"
SoftDev,C++ Software Engineer,"Chicago, IL","SG Cap Trading, LLC.",Full-time,Estimated: $81.9K - $104K a year
SoftDev,Database Developer,"Chicago, IL",Medical Home Network,Full-time,"$87,000 - $115,000 a year"
SoftDev,Staff Software Engineer - Platform Enginering,"Oak Brook, IL",The Chamberlain Group LLC,Full-time,"$97,700 - $184,175 a year"
SoftDev,2025009 Staff Software Engineer,"Chicago, IL",John Deere,unknown,"$148,949 - $158,949 a year"
SoftDev,C++ and C# Software Developer,"Hines, IL",Leidos,Full-time,"$85,150 - $153,925 a year"
SoftDev,Staff Software Engineer - Big Data (T25),"Chicago, IL",Braintree,Full-time,"$84,500 - $204,600 a year"
SoftDev,Software Development Engineer,"Chicago, IL",Lenovo,Full-time,Estimated: $129K - $163K a year
SoftDev,UI Developer,"Oakbrook Ter, IL",Steneral Consulting,unknown,$55 - $60 an hour
SoftDev,Software Engineer in Test (Desktop),"Chicago, IL",NinjaTrader,unknown,"$100,000 - $125,000 a year"
SoftDev,Software Engineer,"Chicago, IL",WALGREENS,unknown,"$98,600 - $157,500 a year"
SoftDev,Imaging Software Engineer,"Chicago, IL",Lenovo,Full-time,"$100,000 - $150,000 a year"
SoftDev,Lead Software Engineer,"Chicago, IL","WithMe, Inc.",Full-time,"$200,000 - $220,000 a year"
SoftDev,Staff Software Engineer - Web SDK,"Chicago, IL",PayPal,Full-time,"$84,500 - $204,600 a year"
SoftDev,RPA Application Developer (UiPath) - Chicago/ Texas,"Chicago, IL",RV Soft,Contract,$55 - $58 an hour
SoftDev,"Staff Software Engineer (Trading Platform, Scala)","Chicago, IL",NinjaTrader,unknown,"$175,000 - $205,000 a year"
SoftDev,Software Engineer,"Chicago, IL",DRW,unknown,"$150,000 - $225,000 a year"
SoftDev,iOS Mobile App Developer,"Chicago, IL",RITAM SOFT LLC,Contract,$60 an hour
SoftDev,Software Engineer,"Chicago, IL",Kernel Trading Technologies LP,Full-time,"$100,181.06 - $264,897.98 a year"
SoftDev,Sr. Software Engineer - Big Data (T24),"Chicago, IL",Braintree,Full-time,"$72,700 - $176,000 a year"
SoftDev,Software Engineer II,"Chicago, IL",CME Group,Full-time,"$84,800 - $141,300 a year"
SoftDev,Software Engineering Manager,"Skokie, IL",Motion Recruitment,Full-time,"$150,000 - $180,000 a year"
SoftDev,Software Developer - HighJump/Korber,"Chicago, IL",Costco Wholesale,unknown,"$125,000 - $160,000 a year"
SoftDev,"Software Engineer II, Edge Workflows","Chicago, IL",Tempus,unknown,"$85,000 - $130,000 a year"
SoftDev,"Senior Software Engineer I (Web, Frontend)","Chicago, IL",NinjaTrader,unknown,"$135,000 - $165,000 a year"
SoftDev,"Engineer, Software - Unity Developer","Chicago, IL","Arrow International, Inc.",Full-time,unknown
SoftDev,Software Engineer,"Chicago, IL",FleetPulse,Full-time,"$100,000 - $130,000 a year"
SoftDev,Senior Software Developer,"Chicago, IL","Sunrise Futures, LLC",unknown,Estimated: $122K - $155K a year
SoftDev,Senior Software Engineer,"Chicago, IL",Tempus,unknown,"$110,000 - $160,000 a year"
SoftDev,ADAS Software Engineer,"Chicago, IL",Teoresi Group,Full-time,"$105,341 - $114,017 a year"
SoftDev,Software Development Engineer,"Chicago, IL",Fortinet,Full-time,"$130,000 - $185,000 a year"
SoftDev,Full Stack Java Developer,"Chicago, IL",Seven Seven Global Services Inc,Full-time,$60 - $70 an hour
SoftDev,Engineer - Software Test,"Chicago, IL",CBOE,Full-time,"$93,500 - $115,500 a year"
SoftDev,C++ Developer (Locals Only),"Chicago, IL",Realign LLC,Contract,Estimated: $87.1K - $110K a year
SoftDev,"Software Engineer, Test - Flexible Hybrid in Chicago, IL","Chicago, IL",CBOE,Full-time,"$93,500 - $115,500 a year"
SoftDev,Java Engineer,"Chicago, IL",Chicago Trading Company (CTC),unknown,"$145,000 - $225,000 a year"
SoftDev,"PRODUCT ENGINEER, FRONT END","Chicago, IL","Hyatt Corporate Office, Chicago",Full-time,"$84,700 - $120,000 a year"
SoftDev,C++ Software Engineer,"Chicago, IL",CTC Lateral - Website & LinkedIn,unknown,"$145,000 - $225,000 a year"
SoftDev,Software Engineer - Test Automation,"Chicago, IL",iManage,Full-time,"$88,000 - $134,000 a year"
SoftDev,Backend C# Developer / Blazor / Angular CONSULTANT,"Chicago, IL",Intone Networks,Contract,Estimated: $108K - $137K a year
SoftDev,Software Developer,"Chicago, IL",Quinnox,unknown,Estimated: $99.6K - $126K a year
